Cost,Quantity
340.17,3
974.94,4
802.03,2
29.08,3
30.73,1
691.66,5
755.09,1
832.64,3
329.47,2
873.98,1
754.16,5
302.17,5
399.4,5
461.96,3
874.3,4
549.91,1
511.91,4
397.87,1
519.36,3
630.9,4
223.33,2
237.86,5
166.75,4
495.35,5
554.24,1
34.87,2
510.55,4
861.53,4
539.76,3
253.84,4
977.2,2
362.99,4
791.2,3
293.85,5
998.24,1
137.82,2
734.12,5
922.72,5
99.83,4
516.67,1
799.25,3
32.82,2
123.47,3
973.92,2
604.49,5
301.51,5
557.08,5
179.55,3
511.82,2
725.72,3
367.55,3
13.66,1
711.87,3
946.6,1
669.33,3
812.65,2
96.92,2
646.12,4
384.53,3
515.01,3
956.58,5
198.68,1
580.7,4
817.78,5
246.7,5
827.03,2
930.28,2
846.47,2
632.13,2
208.22,3
440.31,5
33.58,4
124.29,1
207.46,2
308.3,3
281.75,1
889.07,2
149.3,5
507.38,2
295.54,5
46.23,2
606.29,4
460.58,3
602.63,3
36.42,5
445.47,5
858.56,3
669.23,3
477.93,4
539.77,2
471.4,1
175.05,1
390.44,4
324.55,4
892.27,5
334.78,1
429.94,2
474.88,5
211.45,1
674.05,5
803,1
878.47,2
319.46,5
975.73,5
671.14,2
282.34,2
322.3,3
730.84,4
812.5,3
824.73,1
482.68,5
650.31,1
222.81,2
158.6,1
789.37,4
433.05,2
435.98,4
350.7,2
790.35,1
410.94,4
686.67,2
238.62,5
221.93,2
222.08,3
272.29,5
888.26,3
733.81,5
15.82,5
202.53,1
908.51,2
779.76,3
990.65,3
982.13,5
175.8,3
36.11,2
242.69,5
271.75,1
485.71,1
512.41,4
184.1,2
448.55,3
639.99,2
530.56,2
895.21,1
6.12,2
811.22,4
46.29,4
237.4,2
235.09,2
231.88,2
942.47,5
248.57,2
975.71,3
559.35,4
571.85,5
847.33,1
876.75,5
190.76,4
927.77,1
350.83,4
150.73,4
857.4,1
327.44,2
140.99,5
668.62,4
165.61,3
817.96,5
443.08,2
296.41,3
429.38,2
570.5,1
85.33,1
65.22,5
144.13,5
510.83,5
161.69,3
914.61,4
547.94,3
416.83,3
323.14,3
672.63,3
752.89,4
48.42,5
596.83,5
27.33,5
994.93,5
962.61,4
315.01,2
79.51,5
768.1,5
760.57,2
747.82,4
731.29,2
129.63,4
283.42,4
393.82,2
779.39,5
801.77,5
871.2,3
645.75,2
979.12,4
301.59,5
326.43,2
492.61,3
762.39,3
504.88,2
787.64,3
786.29,1
860.97,2
773.25,5
35.59,3
771.78,3
190.93,5
962.77,4
883.06,2
268.47,5
431.36,5
485.06,1
16.75,1
514.96,3
24.83,2
704.8,3
45.03,2
111.13,2
871.62,5
933.32,2
198.46,1
776.35,4
130.02,4
356.47,1
748.91,1
762.6,2
224.47,3
207.27,5
620.37,2
592.51,5
351.54,1
966.16,5
825.24,4
709.53,5
918.46,5
485.26,2
560,3
994.2,2
199.2,5
178.15,2
394.16,3
347.36,4
169.69,2
214.96,1
342.76,5
663.19,1
883.03,2
401.24,3
937.92,1
592.45,3
239.27,1
428.18,1
796.89,2
884.59,3
749.78,3
924.67,1
608.74,1
650.7,2
646.78,5
548.58,2
864.98,5
431.91,2
865.58,4
553.45,1
182.44,3
831.25,3
399.53,1
209.78,1
999.65,3
42.26,5
130.66,3
697.2,5
96.38,5
435.58,1
134.61,2
187.63,5
962.5,5
529.18,2
354.93,1
760.43,3
463.06,2
916.64,1
951.23,1
812.39,4
231.74,3
509.63,4
636.77,1
198.75,2
729.35,1
342.2,4
444.74,5
894.98,2
647.25,1
350.82,2
631.13,5
21.83,3
257.89,4
553.94,5
28.65,3
826.76,3
689.26,4
341.29,4
666.21,4
369.58,1
43.14,5
94.54,5
992.97,5
359.2,4
901.99,5
362.07,2
823.92,1
69.73,1
137.95,4
777.47,5
622.42,2
972.62,2
245.26,3
27.83,4
342.16,1
982.36,1
311.94,4
922.1,1
742.73,5
800.64,3
124.18,3
539.35,2
561.27,3
752.09,1
517.01,4
10.68,1
722.63,1
49.25,4
792.77,5
279.74,3
938.73,2
176.78,1
611.2,5
211.32,2
749.62,2
558.25,1
693.01,1
947.97,5
213.39,3
109.34,3
375.88,1
562.53,5
865.57,4
950.37,2
80.94,2
162.99,4
394.33,4
925.08,2
498.92,1
693.18,2
692.85,5
449.76,1
117.7,2
513.3,1
910.01,3
59.55,1
276.82,2
370.51,3
673.12,2
847.02,5
65.75,1
955.09,2
759.46,2
958.88,5
155.86,5
252.61,1
986.86,3
689.25,5
723.89,5
644.55,1
666.78,1
297.09,1
870.74,2
758.13,1
159.07,1
110.34,1
393.14,5
895.12,2
646.54,5
815.16,4
127.09,2
970.67,3
963.58,2
463.78,4
596.83,3
443.25,4
784.05,5
284.59,1
108.65,5
472.33,1
346.12,2
177.3,3
425.68,3
361.22,2
700.22,1
710.63,3
35.84,2
296.82,2
123.01,5
227.09,4
263.22,2
164.88,3
695.59,4
450.07,5
699.46,5
710.76,5
683.31,4
560.64,3
528.44,1
863.23,5
730.21,3
753.25,3
287.3,2
769.37,1
173.11,3
39.58,5
468.74,1
931.37,4
476.4,1
439.84,5
388.11,4
20.29,5
319.35,4
191.08,1
837.11,4
416.36,5
483.25,3
516.1,4
521.62,3
243.37,2
111.94,3
262.1,3
524.41,1
681.36,5
109.92,2
54.3,4
417.62,4
82.57,1
656.92,1
976.94,3
90.07,5
