Date,Income,Expenditure,Net Total
01/01/2022,144180.00,105953.00,38227.00
02/01/2022,163398.00,16604.00,146794.00
03/01/2022,105824.00,12169.00,93655.00
04/01/2022,39135.00,101744.00,-62609.00
05/01/2022,144984.00,112159.00,32825.00
06/01/2022,31661.00,147681.00,-116020.00
07/01/2022,58004.00,105372.00,-47368.00
08/01/2022,182072.00,20643.00,161429.00
09/01/2022,30935.00,181093.00,-150158.00
10/01/2022,115454.00,171767.00,-56313.00
11/01/2022,163153.00,184509.00,-21356.00
12/01/2022,92074.00,111028.00,-18954.00
13/01/2022,148620.00,185884.00,-37264.00
14/01/2022,104902.00,140666.00,-35764.00
15/01/2022,112569.00,126616.00,-14047.00
16/01/2022,178484.00,29265.00,149219.00
17/01/2022,71868.00,125586.00,-53718.00
18/01/2022,161066.00,12236.00,148830.00
19/01/2022,119074.00,70795.00,48279.00
20/01/2022,126255.00,44337.00,81918.00
21/01/2022,120228.00,80693.00,39535.00
22/01/2022,62143.00,177477.00,-115334.00
23/01/2022,169439.00,145913.00,23526.00
24/01/2022,78631.00,173257.00,-94626.00
25/01/2022,101582.00,106782.00,-5200.00
26/01/2022,87545.00,138233.00,-50688.00
27/01/2022,102564.00,170888.00,-68324.00
28/01/2022,17887.00,39320.00,-21433.00
29/01/2022,171335.00,102504.00,68831.00
30/01/2022,26549.00,154870.00,-128321.00
31/01/2022,134535.00,49774.00,84761.00
